category,subcategory,count
articles,pain-management,2
articles,5-minute-period-pain-relief,1
articles,anti-inflammatory-diet-guide,1
articles,anti-inflammatory-diet-period-pain,1
articles,comprehensive-iud-guide,1
articles,ginger-menstrual-pain-relief-guide,1
articles,heat-therapy-complete-guide,1
articles,home-natural-menstrual-pain-relief,1
articles,magnesium-gut-health-comprehensive-guide,1
articles,medication-vs-natural-remedies-menstrual-pain,1
articles,menstrual-back-pain-comprehensive-care-guide,1
articles,menstrual-nausea-relief-guide,1
articles,menstrual-pain-accompanying-symptoms-guide,1
articles,menstrual-pain-complications-management,1
articles,menstrual-pain-medical-guide,1
articles,menstrual-pain-vs-other-abdominal-pain-guide,1
articles,menstrual-preventive-care-complete-plan,1
articles,menstrual-stress-management-complete-guide,1
articles,natural-physical-therapy-comprehensive-guide,1
articles,nsaid-menstrual-pain-professional-guide,1
articles,pain-complications-management,1
articles,period-friendly-recipes,1
articles,period-pain-simulator-accuracy-analysis,1
articles,personal-health-profile,1
articles,personal-menstrual-health-profile,1
articles,specific-menstrual-pain-management-guide,1
articles,understanding-your-cycle,1
articles,when-to-see-doctor-period-pain,1
articles,when-to-seek-medical-care-comprehensive-guide,1
articles,zhan-zhuang-baduanjin-for-menstrual-pain-relief,1
health-guide,global-perspectives,1
health-guide,lifestyle,1
health-guide,medical-care,1
health-guide,myths-facts,1
health-guide,understanding-pain,1
periodhub.health,zh,4
scenario-solutions,commute,1
,"URL重复性检查报告
==============================
总URL数量: 50
唯一URL数量: 50
重复URL数量: 0

结论: 文档中没有发现重复的URL。
",
