"关键字","印象数","点击次数","点击率","平均排名"
"痛经","60","1","1.67%","8.749995"
"痛经指南","20","1","5%","3.950005"
"naproxen for menstrual cramps","11","1","9.09%","5.81818181818182"
"原发性痛经指南","10","3","30%","8.20001"
"naproxen period pain","9","0","0%","7.88888888888889"
"iud","9","0","0%","6.22222222222222"
"痛经治疗指南","8","2","25%","3.625"
"痛经科普","8","1","12.5%","6.75"
"ibuprofen for period pain","8","0","0%","5.5"
"痛经指南共识","7","2","28.57%","3.71428571428571"
"原发性痛经治疗指南","7","0","0%","6.57144285714286"
"period rn hub","6","0","0%","6.8333"
"痛经filetype.pdf","6","1","16.67%","10"
"大姨妈平台","6","0","0%","3"
"痛经的原理","6","0","0%","7.83333333333333"
"naproxen for period pain","6","0","0%","6.16666666666667"
"advil for dysmenorrhea","5","0","0%","5.8"
"mefenamic acid vs ibuprofen for dysmenorrhea","5","0","0%","6"
"痛经治疗","5","1","20%","12.2"
"why does heat help period cramps","5","0","0%","3.8"
"ibuprofen for menstrual pain","4","0","0%","4.999975"
"痛经 指南 专家共识","4","1","25%","7"
"menstrual health hub","4","2","50%","1.75"
"diagram of water therapy used for menstrual cramp","4","0","0%","1"
"痛经最新指南","4","0","0%","5.5"
"should i be worried with period pains","4","0","0%","10"
"menstrual pain medical term","4","0","0%","9"
"痛经用药建议","4","0","0%","5.25"
"剧烈痛经无法行动，可以打急救电话吗","4","0","0%","6"
"mefenamic acid for dysmenorrhea","3","0","0%","6.33333333333333"
"baños uce","3","0","0%","12.3333"
"dysmenorrhea prostaglandin use 800 ibuprofen","3","0","0%","2.3333"
"heating pad menstrual pain treatment","3","0","0%","3"
"慢性痛经","3","1","33.33%","3.6667"
"痛经的病理分析","3","1","33.33%","2"
"naproxen for period cramps","3","0","0%","6"
"how to apply heat bag on stomach during periods","3","1","33.33%","1"
"perio hub","3","0","0%","6"
"menstrual pain called","3","0","0%","10"
"什么油缓解痛经","3","0","0%","2.3333"
"nsaids for period pain","3","0","0%","2.66666666666667"
"is naproxen good for menstrual cramps","3","0","0%","8"
"痛经补镁","3","0","0%","6"
"menstrual health for teenagers","3","0","0%","9"
"nsaid for period pain","3","0","0%","2.66666666666667"
"痛经的时候能艾灸在肚脐眼 filetype:pdf","3","0","0%","7"
"mefenemic acid or ibuprofen for period pain","3","0","0%","4"
"is naproxen good for period cramps","3","0","0%","6.66666666666667"
"痛经的原因","3","0","0%","6"
"nsaids for dysmenorrhea","3","2","66.67%","4.33333333333333"
"can oxafen be use to treat menstrual pains","3","0","0%","1"
"period pr hub","3","0","0%","6"
"痛经药物 指南","3","1","33.33%","8"
"痛经 热敷","2","0","0%","4"
"dose of nsaids for menstrual bleeding on depo","2","0","0%","8"
"easy recipies which are good for when you are on your period","2","0","0%","8"
"痛经的分类","2","0","0%","9"
"2022 中国指南：中医技术国际标准——痛经","2","0","0%","10"
"痛经疼痛的yuan'l","2","0","0%","7"
"antinevralgic period pain","2","0","0%","2.5"
"period pain tool","2","0","0%","5.5"
"痛经 发生机制","2","0","0%","3.5"
"should you buy a waist heating pad for period","2","0","0%","2"
"痛经穴位快速止痛","2","0","0%","7"
"naproxen liquid dosing dysmenorrhea","2","0","0%","6"
"immediate relief from period cramps","2","0","0%","9"
"what dose of naproxenfor heavy  menstrual bleeding","2","0","0%","6"
"痛经症状","2","0","0%","9"
"痛经诊疗指南","2","1","50%","4"
"痛经可以热敷吗","2","0","0%","4"
"痛经病诊疗指南","2","1","50%","7.5"
"痛经的定义","2","0","0%","7"
"热敷为什么能缓解痛经","2","0","0%","7.5"
"痛经的鉴别诊断","2","0","0%","6"
"ibuprofen dosage for dysmenorrhea","2","1","50%","1"
"how often can you have ibuprofen for period pain","2","1","50%","1"
"naproxen dosage for menstrual cramps","2","0","0%","3"
"fast heat for period pain 3patches","2","0","0%","7"
"pain menstruation medical term","2","0","0%","10"
"heat patch for period pain","2","0","0%","3.5"
"csn i use naproxen for menstrual cramps relief","2","0","0%","4"
"痛经的治疗指南","2","2","100%","5"
"medical medium menstrual pain","2","1","50%","4.5"
"where is the advisable place to put heat compress during period and is it advisable to put heat or cold compress?","2","1","50%","1.5"
"can novafen be used for menstrual cramps","2","0","0%","10"
"scientific name for menstrual pain","2","0","0%","6"
"recepies for your period","2","0","0%","7"
"pain relievers prescribed to someone with severe period cramps name","2","0","0%","10"
"whar is the menstrual heating pad","2","0","0%","6"
"nsaid period pain","2","1","50%","5"
"nsaid vs midol for menstrual cramps","2","0","0%","5"
"where do i put a heating pad for period is","2","0","0%","5"
"继发性痛经症状诊疗指南","2","0","0%","2"
"advil or tylenol for menstruation heavy bleeding","2","0","0%","7"
"best nsaids for mendtrualcramps treatment","2","0","0%","2"
"ib profin for period cramps dosage","2","1","50%","2"
"原发性痛经诊断标准","2","0","0%","8"
"in medical term period pained","2","0","0%","2"
"子宫痉挛性疼痛治疗指南","2","1","50%","6"
"ibuprofen vs voltaren for menstral cramps","2","0","0%","9"
"is ibuprofen safe to relieve period pain","2","0","0%","5"
"pain pills for period pain starting with an m","2","0","0%","8"
"severe period pain with intermittent loss of vision and diarrhea","2","0","0%","8"
"《痛经管理指南》","2","0","0%","6"
"nsaids menstrual cramps relief","2","0","0%","1"
"ibuprofen dysmenorrhea guidelines","2","0","0%","5"
"prostaglandin inhibitor alternatives for period","2","0","0%","4"
"痛经计算器","2","0","0%","7"
"nalgesic period pain cumerone","2","2","100%","1"
"痛经去急诊有什么缓解办法","2","1","50%","2"
"naproxen for dysmenorrhrea","2","1","50%","4"
"naproxen for dysmenorrhea dosing","2","1","50%","1"
"经期热敷","2","1","50%","2.5"
"pain block for periods","2","0","0%","7"
"can you use hand warmers for period cramps","2","0","0%","6"
"when is it effective to use ibuprofen for period pain and when to stop","2","0","0%","8"
"子宫痉挛和痛经","2","0","0%","4"
"痛经的病理机制","2","1","50%","7"
"ibuprofen for dysmenorea","2","0","0%","7"
"periods hub","2","0","0%","4.5"
"take 400mg every 4 hours on first day of period","2","0","0%","6.5"
"ibuprofen dosage for period cramps","2","0","0%","9"
"痛经病因","2","0","0%","6.5"
"痛经是什么病","2","0","0%","7.5"
"menstrual period pain medical abbrevatio","1","0","0%","7"
"what dose of naproxenfor pronlog menstruation","1","1","100%","1"
"heat pad forperiod","1","0","0%","8"
"does heat help with menstrual cramps and clots","1","1","100%","1"
"月经痛的诊疗记录","1","1","100%","1"
"terminology for menstrual pain","1","0","0%","4"
"病理性痛经","1","0","0%","10"
"ok to take 1000mg naproxen fot severe menstral cramps","1","0","0%","4"
"ibuprofen for dysmenorrhea","1","0","0%","4"
"电热毯缓解痛经","1","0","0%","3"
"naproxen for menstrual pain egypt","1","0","0%","8"
"analgesia for dysmenorrhea","1","0","0%","5"
"ibupruf3n for period pain","1","0","0%","5"
"if a woman has severe menstrual and extreme nausea what herbals help rekieve","1","0","0%","7"
"aleve dosage for pms pain","1","0","0%","6"
"period pain fomrulation","1","0","0%","10"
"strongest painkillers for period pain","1","0","0%","8"
"naproxen switched from pom-p for period cramps","1","0","0%","9"
"痛经 医生怎么开诊断","1","0","0%","5"
"pain during menstraial period in medcal","1","0","0%","5"
"what do if heatpack not helping period cramping","1","0","0%","10"
"advil or ibuprofen for period pain?","1","0","0%","8"
"drug of choice in period pain","1","0","0%","9"
"advil dosage for extreme dysmenorrhea","1","1","100%","1"
"cramps menstrual prostaglandin nsaid kidney","1","0","0%","3"
"deep heat period pain heat patches after expired","1","0","0%","10"
"hogy is nsaid helping with period pain","1","0","0%","1"
"how much newton of force is generated by period pain","1","0","0%","1"
"严重痛经","1","2","200%","6"
